ID,Stations-Name,WMO-Kennung,BG,BM,BS,LG,LM,LS,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Betreiber,Melde-Grp,Country
282,Bamberg,10675,49,52,27,10,55,14,49.874176,10.920581,240,DWD,AUT,Germany
2261,Hof,10685,50,18,44,11,52,34,50.312236,11.876052,565.1,DWD,I E,Germany
7394,Wunsiedel-Schoenbrunn,10686,50,1,53,11,58,28,50.031525,11.974489,622.3,DWD,AUT,Germany
5397,Weiden,10688,49,39,59,12,11,4,49.666262,12.184464,439.6,DWD,AUT,Germany
460,Berus,10704,49,15,50,6,41,12,49.264019,6.686793,363,DWD,AUT,Germany
5029,Tholey,10706,49,28,26,7,2,19,49.473764,7.038578,385.9,DWD,AUT,Germany
4336,Saarbruecken-Ensheim,10708,49,12,46,7,6,28,49.212803,7.107712,320,DWD,I,Germany
5426,Weinbiet,10724,49,22,33,8,7,17,49.375835,8.121278,553,DWD,AUT,Germany
5906,Mannheim,10729,49,30,33,8,33,15,49.509028,8.554076,96.1,DWD,AUT,Germany
4177,Rheinstetten,10731,48,58,21,8,19,48,48.972621,8.330074,116.1,DWD,I E,Germany
13674,Waibstadt,10733,49,17,39,8,54,19,49.294233,8.90538,236.6,DWD,AUT,Germany
3362,Muehlacker,10736,48,58,19,8,52,24,48.97207,8.873387,244,DWD,AUT,Germany
4931,Stuttgart-Echterdingen,10738,48,41,18,9,13,25,48.688307,9.223535,371,DWD,I,Germany
4928,Stuttgart (Schnarrenberg),10739,48,49,41,9,12,0,48.828188,9.200041,314.3,DWD,AUT,Germany
3761,oehringen,10742,49,12,25,9,31,3,49.207046,9.517492,275.9,DWD,AUT,Germany
3603,Niederstetten,10743,49,23,22,9,58,0,49.389533,9.966643,473,GeoInfoDBw,I G,Germany
2485,Kaisersbach-Cronhuette,10747,48,55,1,9,41,14,48.917079,9.687171,488.7,DWD,AUT,Germany
7369,Feuchtwangen-Heilbronn,10756,49,9,44,10,21,58,49.162338,10.366172,475.1,DWD,AUT,Germany
5440,Wei�enburg-Emetzheim,10761,49,0,42,10,55,51,49.011554,10.93081,439.3,DWD,AUT,Germany
3668,Nuernberg,10763,49,30,11,11,3,18,49.503031,11.054923,314,DWD,I,Germany
4280,Roth,10765,49,12,59,11,6,13,49.2164,11.1036,385,DWD,AUT,Germany
2773,Kuemmersbruck,10771,49,25,42,11,54,6,49.428333,11.901613,417,GeoInfoDBw,I G,Germany
4104,Regensburg,10776,49,2,32,12,6,7,49.042357,12.102053,365.4,DWD,AUT,Germany
1587,Gelbelsee,10777,48,56,53,11,25,44,48.948139,11.428914,536,DWD,AUT,Germany
7370,Waldmuenchen,10782,49,23,27,12,41,2,49.390904,12.683828,498.8,DWD,AUT,Germany
4911,Straubing,10788,48,49,39,12,33,35,48.827541,12.559776,350,DWD,AUT,Germany
1832,Gro�er Arber,10791,49,6,47,13,8,3,49.113037,13.134204,1436,DWD,AUT,Germany
5800,Zwiesel,10796,49,1,41,13,14,19,49.028043,13.238493,615,DWD,AUT,Germany
1443,Freiburg,10803,48,1,24,7,50,4,48.023276,7.834441,236.3,DWD,AUT,Germany
